"npc_name","scripted_npc","npc_role","zone_short_name","zone_long_name","zone_expansion","zone_expansion_name","spawn_x","spawn_y","spawn_z","is_merchant","min_expansion_number","min_expansion","max_expansion_number","max_expansion"
"#The_Gale_Caller","Yes","","airplane","The Plane of Sky","0","Classic","-697.00","866.88","171.10","No","0","Classic","-1","Not specified / no maximum"
"Cilin_Spellsinger","No","","airplane","The Plane of Sky","0","Classic","659.88","1380.00","-762.25","No","0","Classic","-1","Not specified / no maximum"
"Dason_Goldblade","No","","airplane","The Plane of Sky","0","Classic","564.00","1340.00","-762.25","No","0","Classic","-1","Not specified / no maximum"
"Drakis_Bloodcaster","No","","airplane","The Plane of Sky","0","Classic","654.88","1305.00","-762.25","No","0","Classic","-1","Not specified / no maximum"
"Enchanter_Jolas","No","","airplane","The Plane of Sky","0","Classic","629.88","1305.00","-766.00","No","0","Classic","-1","Not specified / no maximum"
"Eternal_Spirit","No","","airplane","The Plane of Sky","0","Classic","-1194.50","390.80","154.30","No","0","Classic","-1","Not specified / no maximum"
"Eye_of_Veeshan","No","","airplane","The Plane of Sky","0","Classic","-1371.00","-268.00","1250.00","No","0","Classic","-1","Not specified / no maximum"
"Gorgalosk","No","","airplane","The Plane of Sky","0","Classic","290.00","608.00","-53.75","No","0","Classic","-1","Not specified / no maximum"
"heart_harpie","No","","airplane","The Plane of Sky","0","Classic","323.00","633.00","-53.75","No","0","Classic","-1","Not specified / no maximum"
"Holwin","No","","airplane","The Plane of Sky","0","Classic","659.88","1324.88","-765.88","No","0","Classic","-1","Not specified / no maximum"
"Josin_Faithbringer","No","","airplane","The Plane of Sky","0","Classic","659.88","1349.88","-765.88","No","0","Classic","-1","Not specified / no maximum"
"Key_Master","No","","airplane","The Plane of Sky","0","Classic","601.00","1384.75","-658.34","Yes","0","Classic","-1","Not specified / no maximum"
"Kihun_Solstin","No","","airplane","The Plane of Sky","0","Classic","654.00","1467.00","-765.00","No","0","Classic","-1","Not specified / no maximum"
"Magus_Frinon","No","","airplane","The Plane of Sky","0","Classic","604.88","1305.00","-762.25","No","0","Classic","-1","Not specified / no maximum"
"Medicine_Man_Veetra","No","","airplane","The Plane of Sky","0","Classic","639.88","1400.00","-762.25","No","0","Classic","-1","Not specified / no maximum"
"Noble_Dojorn","No","","airplane","The Plane of Sky","0","Classic","1032.00","376.00","8.00","No","0","Classic","-1","Not specified / no maximum"
"Ranger_Spirit","No","","airplane","The Plane of Sky","0","Classic","609.88","1400.00","-762.25","No","0","Classic","-1","Not specified / no maximum"
"Sarkis_Ebonblade","No","","airplane","The Plane of Sky","0","Classic","564.00","1360.00","-765.88","No","0","Classic","-1","Not specified / no maximum"
"Strandar_Pinemist","No","","airplane","The Plane of Sky","0","Classic","564.00","1320.00","-762.25","No","0","Classic","-1","Not specified / no maximum"
"Thalik_Silenthand","No","","airplane","The Plane of Sky","0","Classic","564.00","1380.00","-766.00","No","0","Classic","-1","Not specified / no maximum"
"The_Spiroc_Guardian","No","","airplane","The Plane of Sky","0","Classic","766.63","-868.63","423.50","No","0","Classic","-1","Not specified / no maximum"
"The_Spiroc_Lord","No","","airplane","The Plane of Sky","0","Classic","760.00","-243.00","416.25","No","0","Classic","-1","Not specified / no maximum"
"The_Storm_Mistress","No","","airplane","The Plane of Sky","0","Classic","1080.00","378.00","12.88","No","0","Classic","-1","Not specified / no maximum"
"Torgon_Blademaster","No","","airplane","The Plane of Sky","0","Classic","564.00","1400.00","-762.25","No","0","Classic","-1","Not specified / no maximum"
"Wizard_Schrock","No","","airplane","The Plane of Sky","0","Classic","580.00","1305.00","-766.00","No","0","Classic","-1","Not specified / no maximum"
"Baxok_Curhunter","No","Warrior Guildmaster","akanon","Ak'Anon","0","Classic","-429.00","848.00","-28.90","No","0","Classic","-1","Not specified / no maximum"
"Clockwork_Merchant","No","Necromancer Spells","akanon","Ak'Anon","0","Classic","-413.00","2081.00","-181.96","Yes","0","Classic","-1","Not specified / no maximum"
"Clockwork_Merchant","No","Necromancer Spells","akanon","Ak'Anon","0","Classic","-395.00","2081.00","-181.96","Yes","0","Classic","-1","Not specified / no maximum"
"Clockwork_Merchant","No","Necromancer Spells","akanon","Ak'Anon","0","Classic","-399.00","2101.00","-181.96","Yes","0","Classic","-1","Not specified / no maximum"
